ticker,name,current_price,conviction_score,tech_score,ai_boost,recommendation,rsi,target_30d,target_90d,revenue_growth,gross_margin,market_cap_b
NET,Cloudflare Inc,200.85000610351562,90.19999999999999,95,15,BUY,65.36233987821235,234.75963748120304,301.27500915527344,0.265,0.76881,69.616615424
QCOM,Qualcomm Inc,159.05999755859375,83.4,85,5,BUY,53.963121195902566,161.91645945106634,146.0134745884356,0.169,0.55683,174.64786944
SNOW,Snowflake Inc,220.27999877929688,82.8,90,15,BUY,59.333434775030454,247.35100582225135,330.4199981689453,0.257,0.66580003,73.498181632
VEEV,Veeva Systems,286.8999938964844,80.6,90,5,BUY,55.45431802021192,307.77546822446544,403.81971831624026,0.167,0.75499,46.882902016
EA,Electronic Arts,156.25999450683594,79.4,75,5,BUY,57.59363604850647,161.17709213309735,167.7629191582411,0.065,0.79324996,39.263760384
SOFI,SoFi Technologies,21.8700008392334,79.19999999999999,100,5,BUY,66.60865644330445,26.193868875709367,32.8050012588501,0.439,0.82246,24.350932992
MDB,MongoDB Inc,244.36000061035156,78.4,95,5,BUY,73.2394548918237,244.3030015986788,171.05200042724607,0.219,0.7289,19.967707136
TSM,Taiwan Semiconductor,242.91000366210938,77.4,100,5,BUY,62.99275930652664,261.6888064946895,303.85853640153056,0.386,0.58582,1259.857641472
DDOG,Datadog Inc,148.8800048828125,77.4,95,10,BUY,64.47031818631726,158.5925272341572,162.83806835050098,0.246,0.80151004,51.416154112
KLAC,KLA Corporation,924.989990234375,77.19999999999999,95,5,BUY,58.397887162248445,973.4749549698793,1139.5738093826856,0.298,0.60562,122.321600512
MU,Micron Technology,114.73999786376953,73.6,95,5,BUY,50.24067461851845,122.56285520951593,122.6986624019057,0.366,0.37133998,128.408969216
CRWD,CrowdStrike Holdings,463.1499938964844,73.6,85,15,BUY,42.94993781932043,523.5458082800027,694.7249908447266,0.198,0.74477,115.4392064
NOW,ServiceNow Inc,977.47998046875,71.8,95,5,BUY,48.492470070249865,1041.0695305075167,1165.7862496185708,0.224,0.78519,202.845683712
COIN,Coinbase Global,377.4800109863281,71.2,95,5,BUY,54.944344649488364,440.1157734146592,566.2200164794922,0.235,0.85248,96.146046976
LRCX,Lam Research,99.08999633789062,70.8,85,5,BUY,57.279588788363675,104.66364360289047,118.60379654467793,0.244,0.48056,126.747992064
NIO,NIO Inc,4.510000228881836,70.0,65,5,BUY,58.29844486001962,4.671697956555301,3.22321038752588,0.215,0.10205,10.285912064
ZS,Zscaler Inc,287.7300109863281,67.6,95,5,BUY,44.85628388979093,319.77458232138844,431.5950164794922,0.226,0.77463996,44.798410752
AI,C3.ai Inc,24.219999313354492,66.2,80,15,BUY,39.193873673447,25.57702614965338,26.470680018589114,0.256,0.60624003,3.2548288
ASML,ASML Holding,721.4500122070312,66.0,85,5,BUY,41.08235519839362,736.4380501212737,720.4431010582767,0.232,0.52521,284.085354496
ticker,name,current_price,conviction_score,tech_score,ai_boost,recommendation,rsi,target_30d,target_90d,revenue_growth,gross_margin,market_cap_b
