ticker,name,current_price,conviction_score,hk_market_score,china_tech_boost,recommendation,action,rsi,target_30d,target_90d,dividend_yield,market_cap_b_hkd,pe_ratio,above_200_sma,volume_surge
0700.HK,Tencent Holdings,549.0,95.0,100,20,STRONG BUY,High quality HK stock - accumulate,67.56314793313503,590.2078773857488,823.5,0.82,5007.19157248,24.642859,True,False
9988.HK,Alibaba Group,117.0999984741211,94.5,100,20,STRONG BUY,High quality HK stock - accumulate,54.58615941771926,128.0691322114619,175.64999771118164,0.88,2217.026256896,15.85266,True,False
9961.HK,Trip.com,493.79998779296875,78.5,75,15,STRONG BUY,High quality HK stock - accumulate,54.63958330591199,527.4220771873378,654.0035162719183,0.47,320.919076864,18.34828,False,False
0005.HK,HSBC Holdings,96.94999694824219,76.5,95,0,STRONG BUY,High quality HK stock - accumulate,48.306422847029204,106.09197344340546,145.42499542236328,5.29,1753.680052224,12.105927,True,True
1024.HK,Kuaishou Technology,72.4000015258789,76.0,75,15,STRONG BUY,High quality HK stock - accumulate,62.30607587690173,79.8749237177908,108.01545447843318,0.0,331.637456896,20.209974,True,False
3690.HK,Meituan,127.4000015258789,75.0,80,15,STRONG BUY,High quality HK stock - accumulate,47.84384971435017,135.95197465628831,128.2681338334987,0.0,730.883883008,19.612278,False,False
9618.HK,JD.com,126.9000015258789,75.0,90,15,STRONG BUY,High quality HK stock - accumulate,46.15321437742112,135.89313261323605,152.6401003193535,3.06,358.1796352,7.656541,False,False
0388.HK,HK Exchanges & Clearing,433.20001220703125,73.5,90,0,STRONG BUY,High quality HK stock - accumulate,54.64268411975187,487.1281433368525,649.8000183105469,2.26,540.923527168,38.282646,True,False
1299.HK,AIA Group,74.25,73.5,95,0,STRONG BUY,High quality HK stock - accumulate,66.29654476682835,79.53349049383479,94.90284092571272,2.36,767.135842304,15.082305,True,False
2628.HK,China Life Insurance,23.25,73.5,100,0,STRONG BUY,High quality HK stock - accumulate,82.57155310374078,25.754006485218476,33.425812178959994,5.08,1103.277719552,5.078652,True,False
0175.HK,Geely Auto,18.34000015258789,73.5,90,0,STRONG BUY,High quality HK stock - accumulate,53.53523154595582,21.13747733377689,27.510000228881836,1.8,178.499207168,9.943821,True,False
0857.HK,PetroChina,7.820000171661377,72.5,100,0,STRONG BUY,High quality HK stock - accumulate,79.0988496864819,8.001265971085614,9.062135641289098,6.97,1702.036635648,7.66,True,True
2318.HK,Ping An Insurance,56.29999923706055,71.5,100,0,STRONG BUY,High quality HK stock - accumulate,70.51915267807027,60.69760776771073,74.05846577607248,4.94,1089.611825152,7.7285714,True,False
0386.HK,Sinopec,4.730000019073486,71.0,95,0,STRONG BUY,High quality HK stock - accumulate,72.1615027373781,4.688555872332276,4.046433656843785,6.44,733.603168256,10.477273,True,True
2388.HK,BOC Hong Kong,35.849998474121094,71.0,80,0,STRONG BUY,High quality HK stock - accumulate,52.31279201205386,39.25925889661899,53.77499771118164,9.55,371.633946624,9.709946,True,False
0992.HK,Lenovo Group,10.140000343322754,70.5,85,0,STRONG BUY,High quality HK stock - accumulate,67.95114475564131,10.535085583644733,10.508827896392543,3.85,125.039378432,12.144579,True,False
0883.HK,CNOOC,19.18000030517578,70.5,90,0,STRONG BUY,High quality HK stock - accumulate,66.76345209739998,19.57457986468337,19.32191014384623,6.88,928.14901248,6.103226,True,False
0939.HK,China Construction Bank,8.1899995803833,69.0,85,0,STRONG BUY,High quality HK stock - accumulate,51.77650340924464,8.910642878225277,12.284999370574951,10.66,2150.26302976,5.7163124,True,False
1398.HK,ICBC,6.050000190734863,69.0,85,0,STRONG BUY,High quality HK stock - accumulate,47.975756747134646,6.57406871153193,9.075000286102295,11.1,2729.191931904,5.6981134,True,False
1066.HK,Weigao Group,7.110000133514404,68.5,85,0,STRONG BUY,High quality HK stock - accumulate,68.94380178273235,7.787752832594919,10.665000200271606,3.31,31.134603264,14.122449,True,False
3988.HK,Bank of China,4.579999923706055,68.0,90,0,STRONG BUY,High quality HK stock - accumulate,43.00941686391211,4.963030645556638,6.869999885559082,5.71,1814.057713664,5.548781,True,False
0016.HK,Sun Hung Kai Properties,94.6500015258789,68.0,70,0,BUY,Build position gradually,65.88049300018739,100.60139786796682,115.83619336208452,3.96,271.542583296,15.590681,True,False
0688.HK,China Overseas,14.199999809265137,68.0,85,0,STRONG BUY,High quality HK stock - accumulate,59.94005654543841,14.96017784440296,15.863111103897598,4.23,148.631748608,8.705129,True,False
2331.HK,Li Ning,17.040000915527344,67.5,75,0,STRONG BUY,High quality HK stock - accumulate,60.36765345181029,18.00210440701956,19.472345315418888,4.94,43.233374208,13.070867,True,False
0002.HK,CLP Holdings,68.55000305175781,67.5,70,0,BUY,Build position gradually,75.16930592004368,68.62621652526893,69.15836815354751,4.6,172.17757184,14.655914,True,True
2269.HK,WuXi Biologics,33.400001525878906,67.0,75,0,STRONG BUY,High quality HK stock - accumulate,80.46927133306437,38.48968493253615,50.10000228881836,0.0,129.470398464,37.647057,True,True
1211.HK,BYD Company,120.9000015258789,67.0,85,0,STRONG BUY,High quality HK stock - accumulate,39.83768403138502,135.29285279691754,181.35000228881836,1.2,1048.894308352,20.71301,True,True
0083.HK,Sino Land,9.180000305175781,67.0,75,0,STRONG BUY,High quality HK stock - accumulate,77.1554760763704,9.342340878569326,10.169473515301732,6.32,83.174416384,21.642859,True,True
0101.HK,Hang Lung Properties,7.949999809265137,66.5,75,0,STRONG BUY,High quality HK stock - accumulate,73.61170490959996,8.401410625368426,9.773053210713133,6.54,40.966459392,19.5,True,True
0762.HK,China Unicom,9.699999809265137,66.5,85,0,STRONG BUY,High quality HK stock - accumulate,65.64612391858354,10.535814864839987,14.549999713897705,4.54,298.024534016,13.342465,True,False
0003.HK,HK & China Gas,7.119999885559082,66.5,90,0,STRONG BUY,High quality HK stock - accumulate,74.3443468561667,7.23366189030057,8.626982738427046,4.92,130.99249664,23.4,True,False
0728.HK,China Telecom,6.050000190734863,66.0,95,0,STRONG BUY,High quality HK stock - accumulate,78.4086959487877,6.31108355522037,9.066007923205175,4.68,713.933979648,15.0,True,False
0941.HK,China Mobile,87.0,65.5,90,0,STRONG BUY,High quality HK stock - accumulate,53.01715148610208,91.58400494176759,121.52615775943121,5.72,1881.922207744,12.195467,True,False
0012.HK,Henderson Land,27.950000762939453,65.5,75,0,STRONG BUY,High quality HK stock - accumulate,63.229555940022145,29.694427869876016,32.44126836138207,6.44,134.106505216,21.307693,True,False
1548.HK,Genscript Biotech,17.5,65.0,70,0,BUY,Build position gradually,60.583262766965014,18.816632591938326,22.838622696185688,0.0,37.375311872,0.0,True,True
6969.HK,Smoore International,21.5,64.0,90,0,HOLD,Monitor for better entry,60.56709825712758,24.943651250262498,32.25,0.47,131.3568768,92.391304,True,False
9888.HK,Baidu Inc,85.5,64.0,65,15,HOLD,Monitor for better entry,46.598958381403186,88.12566618795691,89.89315856108489,0.0,233.901981696,8.564955,False,False
1810.HK,Xiaomi Corp,54.75,64.0,80,15,HOLD,Monitor for better entry,40.78225591382264,66.89096401813555,82.125,0.0,1377.488601088,52.107845,True,False
2018.HK,AAC Technologies,40.95000076293945,64.0,70,0,HOLD,Monitor for better entry,52.99371361443467,44.23214873512123,61.42500114440918,0.59,45.932797952,23.952097,True,False
0011.HK,Hang Seng Bank,113.80000305175781,64.0,70,0,BUY,Oversold quality name - good entry,33.8868650289876,122.6671220745573,169.7267853240443,6.15,215.331684352,15.0131235,True,True
0001.HK,CK Hutchison,52.54999923706055,63.5,80,0,HOLD,Monitor for better entry,70.87760399409626,54.44493679975385,64.63775222914869,4.19,197.630066688,11.569507,True,False
2020.HK,ANTA Sports,93.19999694824219,63.0,75,0,HOLD,Monitor for better entry,53.43671337797674,99.71585341862975,127.17824538810244,2.53,250.084491264,15.152026,True,False
9999.HK,NetEase,205.1999969482422,63.0,80,0,HOLD,Monitor for better entry,46.18695537204714,226.00794228700036,307.7999954223633,2.07,650.294329344,18.672728,True,False
0772.HK,China Literature,31.350000381469727,62.5,65,0,HOLD,Monitor for better entry,57.41851718308756,33.13570451110023,36.02016037352199,0.0,31.551680512,0.0,True,True
0017.HK,New World Development,6.5,62.5,85,0,HOLD,Monitor for better entry,69.666823553319,6.567482296782657,4.55,6.78,16.378290176,0.0,True,False
6160.HK,BeiGene,182.39999389648438,62.0,70,0,HOLD,Monitor for better entry,63.84159696667081,197.5470815169636,273.59999084472656,0.0,261.11803392,0.0,True,False
9926.HK,Akeso Inc,152.8000030517578,62.0,75,0,HOLD,Monitor for better entry,74.14058076237754,176.96580040984657,229.20000457763672,0.0,138.047029248,0.0,True,False
2319.HK,China Mengniu Dairy,17.1200008392334,61.0,80,0,HOLD,Monitor for better entry,56.315970237745866,18.389882397947158,23.973156639670556,3.25,64.150196224,548.0,True,False
0291.HK,China Resources Beer,27.25,60.5,80,0,HOLD,Monitor for better entry,58.87635479304155,28.626918227149055,29.849085409022866,3.03,85.151571968,16.375,True,False
1177.HK,Sino Biopharmaceutical,7.519999980926514,60.5,90,0,HOLD,Monitor for better entry,81.76872210373698,8.363727428046214,11.27999997138977,0.93,133.844877312,62.333336,True,False
9866.HK,NIO Inc,35.95000076293945,60.5,65,0,HOLD,Monitor for better entry,61.138083000820956,37.1928015632372,25.396063248923003,0.0,77.711245312,0.0,True,False
2382.HK,Sunny Optical,73.9000015258789,59.5,75,0,HOLD,Monitor for better entry,53.003455657293514,81.65976578489494,110.85000228881836,0.72,79.854813184,27.12177,True,False
2007.HK,Country Garden,0.5099999904632568,58.0,70,0,HOLD,Monitor for better entry,69.59495812065529,0.5133118098329192,0.42297912332863363,0.0,13.154594816,0.0,True,False
1929.HK,Chow Tai Fook,13.779999732971191,55.5,80,0,HOLD,Monitor for better entry,56.207610298374206,15.70176441460454,20.669999599456787,3.77,130.5870336,22.271189,True,False
9868.HK,XPeng Motors,70.5999984741211,53.0,65,0,HOLD,Monitor for better entry,43.5915348935827,84.17966214903709,105.89999771118164,0.0,135.95987968,0.0,True,False
2015.HK,Li Auto,104.5,52.5,65,0,BUY,Oversold quality name - good entry,39.01861710684681,114.91676254891034,149.35749591808045,0.0,210.155307008,24.808613,True,True
