ticker,name,sector,current_price,market_cap_b,conviction_score,recommendation,action,risk_level,rsi,momentum_score,fundamental_score,target_30d,target_90d,support,resistance,stop_loss,volume_surge,macd_bullish,above_200_sma
JPM,JPMorgan Chase,Financial Services,299.6300048828125,832.698712064,70.0,BUY,Build position gradually,Medium - Near resistance,69.93258959334139,70,70,320.4876937266519,422.28082975349434,281.4206147743004,301.2900085449219,284.64850463867185,False,True,True
BAC,Bank of America,Financial Services,47.959999084472656,356.663164928,66.0,BUY,Build position gradually,Low,59.3826424702992,60,75,50.54257244089514,56.807361154978786,45.945109665307704,49.24989041098625,45.56199913024902,False,False,True
SO,Southern Company,Utilities,94.9000015258789,104.408031232,66.0,BUY,Build position gradually,Medium - Near resistance,61.4247450363353,70,60,98.03211572608237,108.00784713660792,90.52019909054218,96.44000244140625,90.15500144958496,False,True,True
JNJ,Johnson & Johnson,Healthcare,167.25999450683594,402.818924544,66.0,BUY,Build position gradually,Medium - Near resistance,64.62497853614866,70,60,171.03776400437727,176.85700722654764,154.2100067138672,169.99000549316406,158.89699478149413,False,True,True
GOOGL,Alphabet Inc,Communication Services,196.52999877929688,2380.548276224,63.0,HOLD,Monitor for better entry,High - Overbought,75.89871845368978,65,60,200.57350652786812,208.9889743687113,172.77000427246094,197.9499969482422,186.70349884033203,False,True,True
CVX,Chevron Corp,Energy,153.55999755859375,312.222777344,63.0,HOLD,Monitor for better entry,Low,56.837077068735894,75,45,158.58150374880546,163.03106550378794,146.5602538357749,157.2100067138672,145.88199768066406,False,True,True
PLTR,Palantir Technologies,Technology,158.61000061035156,374.305325056,60.0,HOLD,Monitor for better entry,Medium - Near resistance,66.53166407855525,70,45,202.95377633316008,237.91500091552734,132.76629420029278,160.38999938964844,150.67950057983398,False,True,True
ARM,Arm Holdings,Technology,163.3249969482422,173.003636736,60.0,HOLD,Monitor for better entry,Low,63.92494578022558,70,45,174.22040581326323,166.5573115134126,141.805314724859,166.8800048828125,155.15874710083008,False,True,True
CAT,Caterpillar Inc,Industrials,434.1199951171875,204.17314816,59.0,HOLD,Monitor for better entry,High - Overbought,77.05549460871369,65,50,447.3989299355423,414.67503424105075,386.6735238155954,436.8299865722656,412.4139953613281,False,True,True
SMCI,Super Micro Computer,Technology,60.709999084472656,36.232818688,59.0,HOLD,Monitor for better entry,High - Overbought,71.84674580857455,65,50,63.01430794337647,68.75162426832306,46.220001220703125,59.5498369423974,57.67449913024902,False,True,True
META,Meta Platforms,Communication Services,695.2100219726562,1747.987464192,57.0,HOLD,Monitor for better entry,Low,44.662568219470536,55,60,753.6436140207617,943.6988588162575,694.6097854380573,731.4622116322553,660.4495208740234,True,False,True
WMT,Walmart Inc,Consumer Defensive,97.58999633789062,778.80918016,57.0,HOLD,Monitor for better entry,Medium - Near resistance,55.823105339946174,75,30,103.79615948187633,136.4553773600173,94.2300033569336,99.18966514244089,92.71049652099609,False,True,True
BA,Boeing Co,Industrials,225.83999633789062,170.770726912,56.0,HOLD,Monitor for better entry,Low,54.084306071869996,50,65,240.00779919588288,329.7250892734395,214.8068877429488,239.16511237912152,214.5479965209961,False,False,True
COP,ConocoPhillips,Energy,96.66999816894531,122.037174272,56.0,HOLD,Monitor for better entry,Medium - Near resistance,58.379969874996696,50,65,96.1515055433042,76.83835892752597,90.7699966430664,98.05726658682738,91.83649826049805,False,True,False
AVGO,Broadcom Inc,Technology,302.6199951171875,1423.364063232,56.0,HOLD,Monitor for better entry,High - Overbought,72.90955398210346,60,50,333.52559087805105,453.92999267578125,265.06577923187416,299.8942152749618,287.48899536132814,False,True,True
XOM,Exxon Mobil,Energy,111.9000015258789,482.248753152,56.0,HOLD,Monitor for better entry,Low,53.747123409552074,60,50,114.13908270809624,108.05681314972003,107.54956238920555,115.76000213623047,106.30500144958495,False,False,True
V,Visa Inc,Financial Services,350.9100036621094,685.502693376,55.0,HOLD,Monitor for better entry,Low,47.01038088124364,55,55,375.40776774984613,517.731472675693,346.20776757563004,359.6600036621094,333.3645034790039,True,True,True
MSFT,Microsoft Corp,Technology,513.239990234375,3814.676758528,55.0,HOLD,Monitor for better entry,High - Overbought,70.2674102090164,55,55,529.3377127432165,580.5931595289749,493.33615887111887,517.9528425937249,487.57799072265624,True,False,True
